	”character”	”Dialoge”	
87	”Gandalf”	” It is a burden he should never have had to bear. We can ask no more of Frodo.”	
87	”Elrond”	” Gandalf, the enemy is moving. Sauron's forces are amassing in the east-- his eye is fixed on Rivendell. And Saruman you tell me has betrayed us. Our list of allies grows thin.”	
87	”Gandalf”	” His treachery runs deeper than you know. By foul craft Saruman has crossed orcs with goblin-men, he's breeding an army in the caverns of Isengard. An army that can move in sunlight and cover great distance at speed. Saruman is coming for the Ring.”	
87	”Elrond”	” This evil cannot be concealed by the power of the Elves. We do not have the strength to fight both Mordor and Isengard!”	
87	”Elrond”	” Gandalf, the Ring cannot stay here.”	
87	”Elrond”	###############################################################################################################################################################################################################################################################	
87	”Gandalf”	” It is in Men that we must place our hope.”	
87	”Elrond”	” Men? Men are weak. The race of men is failing. The blood of Numenor is all but spent. It's pride and dignity forgotten. It is because of men the Ring survives. I was there Gandalf. I was there three thousand years ago…”	
87	”Elrond”	” Isildur took the Ring. I was there the day the strength of men failed.”	
88	”Elrond”	” Isildur hurry. Follow me.”	
88	”Elrond”	” < voice over > I led Isildur into the heart of Mount Doom, where the Ring was forged, the one place it could be destroyed.”	
88	”Elrond”	” Cast it into the fire!”	
88	”Elrond”	” Destroy it!”	
88	”Isildur”	” No.”	
88	”Elrond”	” Isildur!!!”	
89	”Elrond”	” < voice over > It should’ve ended that day, but evil was allowed to endure.”	
89	”Elrond”	” Isildur kept the Ring. The line of kings is broken. There is no strength left in the world of men. They’re scattered, divided, leaderless.”	
89	”Gandalf”	” There is one who could unite them, one who could reclaim the throne of Gondor.”	
89	”Elrond”	” He turned from that path long time ago. He has chosen exile.”	
90	”Boromir”	” The shards of Narsil! The blade that cut the ring from Sauron's hand!”	
90	”Boromir”	” < in amazement > It's still sharp!”	
90	”Boromir”	” < in disdain > No more than a broken heirloom!”	
90	”Arwen”	” Why do you fear the past? You are Isildur's heir, not Isildur himself. You are not bound to his fate.”	
90	”Aragorn”	” The same blood flows in my veins. < turns to Arwen > Same weakness.”	
90	”Arwen”	” Your time will come. You will face the same evil, and you will defeat it. A si i-Dhúath ú-orthor. Ú or le a ú or nin. (The Shadow does not hold sway yet, not over you and not over me.)”	
92	”Arwen”	” Renech i lu i erui govannen? (Do you remember when we first met?)”	
92	”Aragorn”	” Nauthannem i ned ol reniannen. (I thought I had strayed into a dream.)”	
92	”Arwen”	” < tenderly touches Aragorn’s cheek > Gwenwin in enninath...U-arnech in naeth i si celich. (Long years have passed…You did not have the cares you carry now.)”	
92	”Arwen”	” Renech i beth i pennen? (Do you remember what I told you?)”	
92	”Aragorn”	” < his fingers run across the Evenstar pendant > You said you'd bind yourself to me. Forsaking the immortal life of your people.”	
92	”Arwen”	” And to that I hold. I would rather share one lifetime with you than face all the ages of this world alone.”	
92	”Arwen”	” I choose a mortal life.”	
92	”Aragorn”	” You cannot give me this!”	
92	”Arwen”	” It is mine to give to whom I will...like my heart.”	
93	”Elrond”	###############################################################################################################################################################################################################################################################	
93	”Boromir”	” So it is true...”	
93	”Man of Laketown”	” The Doom of Men”	
93	”Boromir”	###############################################################################################################################################################################################################################################################	
93	”Aragorn”	” You cannot wield it! None of us can. The One Ring answers to Sauron alone. It has no other master.”	
93	”Boromir”	” And what would a ranger know of this matter?”	
93	”Legolas”	” This is no mere ranger. He is Aragorn, son of Arathorn. You owe him your allegiance.”	
93	”Boromir”	” Aragorn? This... is Isildur's heir?”	
93	”Legolas”	” And heir to the throne of Gondor.”	
93	”Aragorn”	” Havo dad Legolas (Sit down Legolas)”	
93	”Boromir”	” Gondor has no king. Gondor needs no king. < returns to his seat >”	
93	”Gandalf”	” Aragorn is right. We cannot use it.”	
93	”Elrond”	” You have only one choice. The Ring must be destroyed.”	
93	”Gimli”	” What are we waiting for?”	
93	”Gimli”	” ARGH!!!!”	
93	”Elrond”	” The Ring cannot be destroyed, Gimli, son of Gloin by any craft that we here possess. The Ring was made in the fires of Mount Doom. Only there can it be unmade. It must be taken deep into Mordor and cast back into the fiery chasm from whence it came.”	
93	”Elrond”	” One of you must do this.”	
93	”Boromir”	###############################################################################################################################################################################################################################################################	
93	”Legolas”	” < stands indignantly > Have you heard nothing Lord Elrond has said? The Ring must be destroyed!”	
93	”Gimli”	” < leaps to his feet > And I suppose you think you're the one to do it?!”	
93	”Boromir”	” < rises > And if we fail, what then?! What happens when Sauron takes back what is his?!”	
93	”Gimli”	” I will be dead before I see the Ring in the hands of an elf!”	
93	”Gimli”	” Never trust an elf!”	
93	”Gandalf”	” Do you not understand that while we bicker amongst ourselves, Sauron's power grows?! None can escape it!”	
93	”Ring”	” Ash Nazg Durbatuluk! Ash Nazg Gimbatul! Ash Nazg Gimbatul! Ash Nazg Gimbatul!”	
93	”Frodo”	” I will take it! I will take it!”	
93	”Frodo”	” I will take the Ring to Mordor. Though-- I do not know the way.”	
93	”Gandalf”	” < walks towards Frodo > I will help you bear this burden, Frodo Baggins, so long as it is yours to bear. < places his hands reassuringly on Frodo’s shoulders >”	
93	”Aragorn”	” < rises > If by my life or death, I can protect you, I will.”	
93	”Aragorn”	” You have my sword.”	
93	”Legolas”	” And you have my bow. < walks to join them >”	
93	”Gimli”	” And my axe! < looks grimly at Legolas as he joins the group >”	
93	”Boromir”	” < walks over to them > You carry the fates of us all little one. If this is indeed the will of the council, then Gondor will see it done.”	
93	”Sam”	” Heh! < jumps from behind the bushes and joins them > Mr. Frodo is not goin’ anywhere without me!”	
93	”Elrond”	” < amused > No indeed, it is hardly possible to separate you even when he is summoned to a secret council and you are not.”	
93	”Pippin and Merry”	” < emerges from behind the pillars to join them > Wait! We are coming too!”	
93	”Merry”	” You'd have to send us home tied up in a sack to stop us!”	
93	”Pippin”	” Anyway you need people of intelligence on this sort of mission, quest... thing.”	
93	”Merry”	” Well that rules you out Pip.”	
93	”Elrond”	” Nine companions... So be it! You shall be the Fellowship of the Ring!”	
93	”Pippin”	” Great! Where are we going?”	
94	”Bilbo”	” My old sword, Sting! Here! Take it, take it!”	
94	”Frodo”	” It’s so light!”	
94	”Bilbo”	” Yes...yea--made by the elves you know. The blade glows blue when orcs are close. And its times like that my lad, when you'll have to be extra careful!”	
94	”Bilbo”	” Here’s a pretty thing --Mithril! As light as a feather! And as hard as dragon scales! Let me see you put it on. Go on.”	
94	”Bilbo”	” Oh...M-my old Ring! Oh well… I sh-sh-should very much like, to hold it again, one last time.”	
94	”Bilbo”	” I’m sorry I brought this upon you my boy...I’m sorry that you must carry this burden. I’m sorry for everything!”	
96	”Gandalf”	” < voice over > We must hold this course west of the Misty Mountains for 40 days. If our luck holds the Gap of Rohan will still be open to us. From there our road turns east to Mordor.”	
97	”Boromir”	” Two, Three, Four, Five. Good, very good.”	
97	”Aragorn”	” Move your feet.”	
97	”Merry”	” That’s good, Pippin.”	
97	”Pippin”	” Thanks.”	
97	”Boromir”	” Faster”	
97	”Gimli”	” ‘Anyone was to ask for my opinion, which I note they’re not, I’d say we were taking the long way round. Gandalf, we could pass through the Mines of Moria. My cousin Balin would give us a royal welcome.”	
97	”Gandalf”	” No Gimli, I would not take the roads through Moria unless I had no other choice.”	
97	”Boromir”	” Come on. Good.”	
97	”Pippin”	” Aaaah!”	
97	”Boromir”	” Sorry!”	
97	”Boromir”	” Ahh!”	
97	”Merry”	” Get Him!”	
97	”Pippin”	” For the Shire!”	
97	”Pippin”	” Hold him! Hold him Merry!”	
97	”Merry”	” He got my arm! He got my arm!”	
97	”Sam”	” What is that?”	
97	”Gimli”	” Nothing, it’s just a whiff of cloud.”	
97	”Boromir”	” It’s moving fast…against the wind.”	
97	”Legolas”	” Crebain from Dunland!”	
97	”Aragorn”	” Hide!”	
97	”Boromir”	” Merry! Frodo!”	
97	”Aragorn”	” Come on, come on! Take cover!”	
97	”Gandalf”	” Spies of Saruman! The passage south is being watched. We must take the Pass of Caradhras.”	
97	”Frodo”	” Ungh!”	
97	”Aragorn”	” Frodo! < helps him to his feet >”	
98	”Aragorn”	” Boromir.”	
98	”Boromir”	” It is a strange fate we should suffer so much fear and doubt over so small a thing… such a little thing.”	
98	”Aragorn”	” Boromir! Give the Ring to Frodo.”	
98	”Boromir”	” < hands it to Frodo > As you wish. I care not.”	
99	”Saruman”	” So, Gandalf, you try to lead them over Caradhras. And if that fails, where then will you go? If the mountain defeats you will you risk a more dangerous road?”	
99	”Saruman”	"” Cuiva nwalca Carnirasse; nai yarvaxea rasselya! (Wake up cruel Redhorn! May your horn be bloodstained!)”"	
100	”Legolas”	” There is a fell voice on the air.”	
100	”Gandalf”	” Its Saruman!”	
100	”Aragorn”	” He’s trying to bring down the mountain! Gandalf, we must turn back!”	
100	”Gandalf”	” No!”	
100	”Gandalf”	” Losto Caradhras, sedho, hodo, nuitho i 'ruith! (Sleep Caradhras, be still, lie still, hold your wrath!)”	
100	”Saruman”	"” Cuiva nwalca Carnirasse; Nai yarvaxea rasselya; taltuva notto-carinnar! (Wake up cruel Redhorn! May your bloodstained horn fall upon enemy heads!)”"	
102	”Boromir”	” We must get off the mountain! Make for the Gap of Rohan and take the west road to my city!”	
102	”Aragorn”	” The Gap of Rohan takes us too close to Isengard!”	
102	”Gimli”	” If we cannot pass over a mountain, let us go under it. Let us go through the mines of Moria.”	
102	”Saruman”	” Moria. You fear to go into those mines. The dwarves delved too greedily and too deep. You know what they awoke in the darkness of Khazad-dum”	
102	”Gandalf”	” < grimly > Let the Ring bearer decide.”	
102	”Gandalf”	” Frodo?”	
102	”Frodo”	” We will go through the mines.”	
102	”Gandalf”	” So be it.”	
103	”Gimli”	” < in awe > The walls of Moria!”	
103	”Frodo”	” < gasp >”	
103	”Gandalf”	” Now, let’s see. Ithildin -- it mirrors only starlight and moonlight.”	
103	”Gandalf”	"” It reads ""The doors of Durin - Lord of Moria. Speak friend and enter.""”"	
103	”Merry”	” What do you suppose that means?”	
103	”Gandalf”	” Oh it’s quite simple. If you are a friend you speak the password and the doors will open.”	
103	”Gandalf”	” Annon Edhellen edro hi ammen! (Gate of the Elves open now for me!)”	
103	”Gandalf”	” Ando Eldarinwa a lasta quettanya, Fenda Casarinwa! (Gate of Elves listen to my word, Threshold of Dwarves!)”	
103	”Aragorn”	” < unhitches Bill’s bridle > The mines are no place for a pony, even one so brave as Bill.”	
103	”Sam”	” < sadly > Buh-bye Bill”	
103	”Aragorn”	” Go on, Bill, go on. Don’t worry Sam, he knows the way home.”	
103	”Aragorn”	” Do not disturb the water.”	
103	”Gandalf”	” < exasperated > Oh, it’s useless!”	
103	”Frodo”	"” It’s a riddle. Speak ""friend"" and enter. What’s the Elvish word for friend?”"	
103	”Gandalf”	” Mellon”	
104	”Gimli”	” Soon master elf you will enjoy the fabled hospitality of the dwarves. Roaring fires, malt beer, ripe meat off the bone. This, my friend, is the home of my cousin Balin. And they call it a mine. A mine!”	
104	”Boromir”	” This is no mine, it’s a tomb!”	
104	”Gimli”	” Oh! No! Noooo!!!”	
104	”Legolas”	” Goblins!”	
104	”Boromir”	” We make for the Gap of Rohan. We should never have come here.”	
104	”Boromir”	” Now get out of here, get out!”	
105	”Sam, Merry, and Pippin”	” Frodo!”	
105	”Sam”	” Strider! < hacks at tentacle > Get off him!”	
105	”Frodo”	” aah!”	
105	”Merry”	” Aragorn!”	
105	”Gandalf”	” Into the Mines!”	
105	”Boromir”	” Legolas! Aim for his eye! Come on!”	
106	”Gandalf”	” We now have but one choice. We must face the long dark of Moria. Be on your guard. There are older and fouler things than orcs in the deep places of the world.”	
107	”Gandalf”	” Quietly now. It’s a four-day journey to the other side. Let us hope that our presence may go unnoticed.”	
107	”Merry”	” Pippin!”	
109	”Gandalf”	” I have no memory of this place”	
109	”Pippin”	” Are we lost?”	
109	”Merry”	” No.”	
109	”Pippin”	” I think we are.”	
109	”Sam”	” Shhh! Gandalf’s thinking.”	
109	”Pippin”	” Merry?”	
109	”Merry”	” What?”	
109	”Pippin”	” I’m hungry.”	
109	”Frodo”	” There’s something down there.”	
109	”Gandalf”	” It’s Gollum.”	
109	”Frodo”	” Gollum?”	
109	”Gandalf”	” He’s been following us for three days.”	
109	”Frodo”	” He escaped the dungeons of Barad-Dur!”	
109	”Gandalf”	” Escaped? Or set loose?”	
109	”Gandalf”	” He hates and loves the Ring, as he hates and loves himself. He will never be rid of his need for it.”	
109	”Frodo”	” It’s a pity Bilbo didn’t kill him when he had the chance!”	
109	”Gandalf”	” Pity? It was pity that stayed Bilbo’s hand. Many that live deserve death, and some that die deserve life. Can you give it to them, Frodo?”	
109	”Gandalf”	” Do not be too eager to deal out death in judgement. Even the very wise can not see all ends. My heart tells me that Gollum has some part to play yet, for good or ill, before this is over. The pity of Bilbo may rule the fate of many.”	
109	”Frodo”	” I wish the Ring had never come to me. I wish none of this had happened.”	
109	”Gandalf”	###############################################################################################################################################################################################################################################################	
109	”Gandalf”	” < looks towards one of the doorways > Ah! It’s that way.”	
109	”Merry”	” He’s remembered!”	
109	”Gandalf”	” No, but the air doesn’t smell so foul down here. If in doubt, Meriadoc, always follow your nose.”	
110	”Gandalf”	” Let me risk a little more light.”	
110	”Gandalf”	” Behold the great realm and dwarf city of Dwarrowdelf.”	
110	”Sam”	” Now there’s an eye opener and no mistake.”	
110	”Gimli”	” Haugh!”	
110	”Gandalf”	” Gimli!”	
111	”Gimli”	” No! No! < sob > No! < sob >”	
111	”Gandalf”	"” < translates the runes on the tomb > ""Here lies Balin, son of Fundin, Lord of Moria."" He is dead then. Its as I feared.”"	
111	”Gimli”	” < wails >”	
111	”Legolas”	” < to Aragorn > We must move on, we cannot linger!”	
111	”Gandalf”	###############################################################################################################################################################################################################################################################	
112	”Gandalf”	” < slams the book shut > Fool of a Took! Throw yourself in next time and rid us of your stupidity!”	
112	”Sam”	” Frodo! < Sting glows blue >”	
112	”Legolas”	” Orcs!”	
112	”Aragorn”	” < to the Hobbits > Get back! Stay close to Gandalf!”	
112	”Boromir”	” They have a cave troll.”	
112	”Gimli”	” Aarrgghhh!!! Let them come! There is one dwarf yet in Moria that still draws breath!”	
112	”Sam”	” < hits orcs with skillet > I think I’m getting the hang of this.”	
112	”Frodo”	” Aragorn? Aragorn!”	
112	”Aragorn”	” Frodo! Yaaahh!”	
112	”Frodo”	” < being stabbed > Ungh!”	
112	”Sam”	” Frodo? Frodo!”	
112	”Merry and Pippin”	” Yaahh!”	
112	”Aragorn”	” Oh no!”	
112	”Sam”	” He’s alive!”	
112	”Frodo”	” I’m all right, I’m not hurt.”	
112	”Aragorn”	” You should be dead! That spear would have skewered a wild boar.”	
112	”Gandalf”	” I think there’s more to this hobbit than meets the eye.”	
112	”Gimli”	” Mithril! You are full of surprises Master Baggins.”	
112	”Gandalf”	” To the bridge of Khazad-dum!”	
113	”Boromir”	” What is this new devilry?”	
113	”Gandalf”	” A Balrog-- a demon of the ancient world. This foe is beyond any of you. Run!”	
113	”Aragorn”	” Gandalf.”	
114	”Gandalf”	” Lead them on Aragorn. The bridge is near. < Aragorn resists > Do as I say! Swords are no more use here.”	
114	”Legolas”	” < beckons > Gandalf.”	
114	”Boromir”	” Merry! Pippin! Hoo-aah!”	
114	”Aragorn”	” Sam.”	
114	”Gimli”	” < holds up his hand > Nobody tosses a dwarf.”	
114	”Gimli”	” Not the beard!”	
114	”Aragorn”	” Stay there. Hold on. Hang on! Lean forward!”	
114	”Legolas”	” Come on!”	
115	”Gandalf”	” Over the bridge! Fly!”	
115	”Gandalf”	” You cannot pass!”	
115	”Frodo”	” Gandalf!”	
115	”Gandalf”	” I am the servant of the secret fire, wielder of the flame of Anor. The dark fire will not avail you! Flame of Udun!”	
115	”Gandalf”	” Go back to the shadow!”	
115	”Gandalf”	” YOU…SHALL NOT...PASS!!!”	
115	”Boromir”	” No, Frodo!”	
115	”Frodo”	” Gandaaaaalf!”	
115	”Gandalf”	” Fly you fools!”	
115	”Frodo”	” Noooooooooooooooo!!!!”	
115	”Boromir”	” Aragorn!”	
115	”Frodo”	” Noooooooooooo!!!”	
116	”Aragorn”	” Legolas, get them up.”	
116	”Boromir”	” Give them a moment for pity's sake.”	
116	”Aragorn”	” By nightfall these hills will be swarming with orcs! We must reach the Woods of Lothlorien. Come Boromir, Legolas, Gimli, get them up.”	
116	”Aragorn”	” < he reaches down and lifts Sam up > On your feet Sam. < looks around > Frodo? Frodo!”	
118	”Gimli”	” Stay close young hobbits! They say there’s a great sorceress lives in these woods, an elf-witch of terrible power. All who look upon her, fall under her spell...”	
118	”Galadriel’s Voice”	” < whispering echo > Frodo....”	
118	”Gimli”	” ... and are never seen again.”	
118	”Galadriel’s Voice”	” …Your coming to us… is as the footsteps of doom. You bring great evil here Ring bearer!”	
118	”Sam”	” Mr. Frodo?”	
118	”Gimli”	” Well, here is one dwarf she won't ensnare so easily. I have the eyes of a hawk and the ears of a fox!”	
118	”Gimli”	” Oh...”	
118	”Haldir”	” The dwarf breathes so loud we could have shot him in the dark.”	
118	”Gimli”	” Grrr....”	
118	”Aragorn”	” Haldir o Lórien. Henion aníron, boe ammen i dulu lîn. Boe ammen veriad lîn.”	
118	”Gimli”	” Aragorn, these woods are perilous! We should go back.”	
118	”Haldir”	” You have entered the realm of the Lady of the Wood. You cannot go back. Come, she is waiting.”	
120	”Celeborn”	” Eight that are here yet nine there were set out from Rivendell. Tell me where is Gandalf? For I much desire to speak with him.”	
120	”Galadriel”	” He has fallen into shadow.”	
120	”Galadriel”	” The quest stands upon the edge of a knife. Stray but a little and it will fail to the ruin of all.”	
120	”Galadriel”	” Yet hope remains while the company is true.”	
120	”Galadriel”	” Do not let your hearts be troubled. Go now and rest for you are weary with sorrow and much toil. Tonight you will sleep in peace. < whispers to Frodo in his mind > Welcome Frodo of the Shire. One who has seen the Eye!”	
121	”Legolas”	” < pensive > A lament for Gandalf.”	
121	”Merry”	” What do they say about him?”	
121	”Legolas”	” I have not the heart to tell you. For me the grief is still too near.”	
121	”Aragorn”	” Take some rest. These borders are well protected.”	
121	”Boromir”	” I will find no rest here. I heard her voice inside my head. She spoke of my father and the fall of Gondor. She said to me even now there is hope left. But I cannot see it. It is long since we had any hope.”	
121	”Boromir”	###############################################################################################################################################################################################################################################################	
121	”Aragorn”	” I have seen the White City, long ago.”	
121	”Boromir”	” One day, our paths will lead us there. And the tower guards shall take up the call”	
122	”Galadriel”	” Will you look into the mirror?”	
122	”Frodo”	” What will I see?”	
122	”Galadriel”	” Even the wisest cannot tell. For the mirror shows many things.”	
122	”Galadriel”	” Things that were, things that are and some things… < empties the ewer > that have not yet come to pass.”	
122	”Galadriel”	###############################################################################################################################################################################################################################################################	
122	”Frodo”	” < telepathically > If you ask it of me, I will give you the One Ring.”	
122	”Galadriel”	” You offer it to me freely. I do not deny that my heart has greatly desired this.”	
122	”Galadriel”	” In place OF A DARK LORD, YOU WILL HAVE A QUEEN! NOT DARK BUT BEAUTIFUL AND TERRIBLE AS THE DAWN! TREACHEROUS AS THE SEA! STRONGER THAN THE FOUNDATIONS OF THE EARTH! ALL SHALL LOVE ME AND DISPAIR!”	
122	”Galadriel”	” I pass the test! I will diminish, and go into the West, and remain Galadriel.”	
122	”Frodo”	” I cannot do this alone.”	
122	”Galadriel”	” You are a Ring bearer, Frodo. To bear a Ring of power is to be alone. This task was appointed to you and if you do not find a way, no one will.”	
122	”Frodo”	” Then I know what I must do. It's just… I'm afraid to do it.”	
122	”Galadriel”	” Even the smallest person can change the course of the future.”	
123	”Saruman”	” Do you know how the Orcs first came into being? They were elves once, taken by the dark powers. Tortured and mutilated”	
123	”Lurtz”	” Saruman!”	
124	”Saruman”	” < to the troops > Hunt them down. Do not stop until they are found. You do not know pain. You do not know fear. You will taste man flesh!”	
124	”Saruman”	” < to Lurtz > One of the halflings carries something of great value. Bring them to me alive and unspoiled. Kill the others!”	
126	”Galadriel”	” Farewell, Frodo Baggins. I give you the light of Earendil, our most beloved star.”	
126	”Galadriel”	” Namarie.”	
127	”Galadriel”	” May it be a light for you in dark places, when all other lights go out.”	
130	”Aragorn”	” Frodo, the Argonath! Long have I desired to look upon the kings of old. My kin.”	
131	”Aragorn”	” We cross the lake at nightfall. Hide the boats and continue on foot. We approach Mordor from the north.”	
131	”Gimli”	” Oh, yes?! It's just a simple matter of finding our way through Emyn Muil? An impassable labyrinth of razor sharp rocks! And after that, it gets even better! < Pippin looks up, alarmed > Festering, stinking marshlands far as the eye can see!”	
131	”Aragorn”	” That is our road. I suggest you take some rest and recover your strength master dwarf.”	
131	”Gimli”	” Recover my…?! Phrrrrr...”	
131	”Legolas”	” < quietly to Aragorn > We should leave now.”	
131	”Aragorn”	” No. Orcs patrol the eastern shore. We must wait for cover of darkness.”	
131	”Legolas”	” It is not the eastern shore that worries me. A shadow and a threat has been growing in my mind. Something draws near...I can feel it!”	
131	”Gimli”	” No dwarf need recover strength! < to Pippin > Pay no heed to that, young hobbit.”	
131	”Merry”	” Where's Frodo?”	
132	”Boromir”	” None of us should wander alone, you least of all. So much depends on you. Frodo?”	
132	”Boromir”	"” I know why you seek solitude. You suffer; I see it day by day. You sure you do not suffer needlessly? There are other ways, Frodo, other paths that we might take.”"	
132	”Frodo”	” I know what you would say. And it would seem like wisdom but for the warning in my heart.”	
132	”Boromir”	” Warning? Against what? We're all afraid, Frodo. But to let that fear drive us to destroy what hope we have. Don't you see that is madness?”	
132	”Frodo”	” There is no other way!”	
132	”Boromir”	” I ask only for the strength to defend my people! < throws the gathered wood to the ground > If you would but lend me the Ring...”	
132	”Frodo”	” No. < steps back >”	
132	”Boromir”	” Why do you recoil? I am no thief.”	
132	”Frodo”	” You are not yourself.”	
132	”Boromir”	” What chance do you think you have? They will find you! They will take the Ring and you will beg for death before the end!”	
132	”Boromir”	” Fool!”	
132	”Boromir”	” It is not yours save by unhappy chance. It could have been mine! < tackles Frodo > It should be mine! Give it to me!”	
132	”Boromir”	” Give it to me!”	
132	”Frodo”	” No!”	
132	”Boromir”	” Give me… Give me the Ring!”	
132	”Frodo”	” Nurgh…ugh!”	
132	”Boromir”	” < looks around desperately > I see your mind. You will take the Ring to Sauron! You will betray us! You go to your death and the death of us all! Curse you! Curse you! And all the halflings!”	
132	”Boromir”	” Frodo?...Frodo?...what have I done?...please...Frodo!”	
133	”Boromir”	” < in the background > Frodo, I'm sorry! Oh no!”	
134	”Aragorn”	” Frodo?”	
134	”Frodo”	” < startled > Huh?! It has taken Boromir.”	
134	”Aragorn”	” < intensely > Where is the Ring?”	
134	”Frodo”	” Stay away! < scrambles up and retreats from Aragorn. Aragorn comes after him >”	
134	”Aragorn”	” Frodo!”	
134	”Aragorn”	” I swore to protect you!”	
134	”Frodo”	” Can you protect me from yourself?!”	
134	”Frodo”	” Would you destroy it?”	
134	”The Ring”	” Aragorn...Aragorn…Elessar...”	
134	”Aragorn”	” I would have gone with you to the end, into the very fires of Mordor.”	
134	”Frodo”	” I know. Look after the others, especially Sam. He will not understand.”	
134	”Aragorn”	” Go on Frodo. < draws out his sword > Run. Run!”	
135	”Sam”	” Mr.Frodo!!!”	
135	”Lurtz”	” < to his troops > Find the Halfling! Find the Halfling!”	
135	”Aragorn”	” < jumps onto the Uruk-Hai > Elendil!!!!!”	
135	”Legolas”	” Aragorn! Go!”	
135	”Merry”	” Frodo!”	
135	”Pippin”	” < beckoning > Hide here quick! Come on!”	
135	”Pippin”	” < to Merry > What’s he doin'?”	
135	”Merry”	” He's leavin’.”	
135	”Pippin”	” No! < runs out to Frodo >”	
135	”Merry”	” Pippin! < comes after him >”	
135	”Merry”	” < quietly > Run Frodo! Go!”	
135	”Merry”	” Hey! Hey you! Over here!”	
135	”Pippin”	” Hey!”	
135	”Merry”	” Over here!”	
135	”Pippin”	” < waving his arms > This way!”	
135	”Pippin”	” Its working!”	
135	”Merry”	” I know its working! Run!”	
135	”Legolas”	” The Horn of Gondor!”	
135	”Aragorn”	” Boromir!”	
135	”Boromir”	” < to the hobbits > Run! Run!”	
135	”Merry and Pippin”	” Shire!!!!!”	
135	”Aragorn”	” No! < runs up and kneels near Boromir >”	
135	”Boromir”	” They took the little ones.”	
135	”Aragorn”	” Be still.”	
135	”Boromir”	” Frodo, where is Frodo?”	
135	”Aragorn”	” I let Frodo go.”	
135	”Boromir”	” Then you did what I could not. I tried to take the Ring from him.”	
135	”Aragorn”	” The Ring is beyond our reach now.”	
135	”Boromir”	” Forgive me, I did not see it. I have failed you all.”	
135	”Aragorn”	” No, Boromir, you fought bravely! You have kept your honor. < reaches out to pull the arrows from Boromir >”	
135	”Boromir”	” Leave it! It is over. The world of men will fall, and all will come to darkness… and my city to ruin.”	
135	”Aragorn”	” I do not know what strength is in my blood, but I swear to you I will not let the white city fall, nor our people fail!”	
135	”Boromir”	” Our people? Our people.”	
135	”Boromir”	” I would have followed you my brother, my captain, my king!”	
135	”Aragorn”	” Be at peace, son of Gondor. < bends and kisses Boromir on the brow >”	
136	”Sam”	” Frodo!”	
136	”Frodo”	” I wish the Ring had never come to me. I wish none of this had happened.”	
136	”Gandalf”	” So do all who live to see such times but that is not for them to decide. All you have to decide is what to do with the time that is given to you.”	
136	”Sam”	” Frodo no! Frodo! Mr. Frodo!”	
136	”Frodo”	” < quietly > No Sam. < continues to paddle away >”	
136	”Frodo”	” Go back Sam! I’m going to Mordor alone.”	
136	”Sam”	” Of course you are, and I’m coming with you!”	
136	”Frodo”	” You can’t swim! Sam!”	
136	”Frodo”	” Sam!!!”	
136	”Sam”	"” < dripping wet > I made a promise, Mr. Frodo. A promise! ""Don’t you leave him Samwise Gamgee."" And I don’t mean to! I don’t mean to.”"	
136	”Frodo”	” Oh Sam! < hug > Come on.”	
137	”Legolas”	” Hurry! Frodo and Sam have reached the eastern shore.”	
137	”Legolas”	” You mean not to follow them?”	
137	”Aragorn”	” Frodo’s fate is no longer in our hands.”	
137	”Gimli”	” Then it has all been in vain! The Fellowship has failed.”	
137	”Aragorn”	” < puts his hands on their shoulders > Not if we hold true to each other. We will not abandon Merry and Pippin to torment and death. Not while we have strength left. Leave all that can be spared behind. We travel light. Let’s hunt some orc!”	
137	”Gimli”	” Yes!!! Haha!”	
138	”Frodo”	” Mordor. I hope the others find a safer route.”	
138	”Sam”	” Strider will look after them.”	
138	”Frodo”	” I don’t suppose we’ll ever see them again.”	
138	”Sam”	” We may yet, Mr. Frodo. We may.”	
138	”Frodo”	” < turns, smiling > Sam, I’m glad you’re with me.”	
